Línea ,Lin_desc,MARCA  ,Clave ,Descripción ,EQUIVALENCIA  ,ARMADORA  ,AUTO,AÑO,DESCRIPCION LARGA  
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2006,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2007,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2008,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2009,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2010,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2011,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2012,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2013,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2014,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP96482901,CAJA DIRECCION GM MATIZ 06/15 STD,96482901,GM,MATIZ,2015,CAJA DIRECCION STANDAR GM CHEVROLET MATIZ 06/15 
11,CAJA DIRECCION,OEP,OP93184686,CAJA DIRECCION GM CORSA 03/08 STD,93184686,GM,CORSA,2003,CAJA DIRECCION STANDAR GM CHEVROLET CORSA 03/08
11,CAJA DIRECCION,OEP,OP93184686,CAJA DIRECCION GM CORSA 03/08 STD,93184686,GM,CORSA,2004,CAJA DIRECCION STANDAR GM CHEVROLET CORSA 03/08
11,CAJA DIRECCION,OEP,OP93184686,CAJA DIRECCION GM CORSA 03/08 STD,93184686,GM,CORSA,2005,CAJA DIRECCION STANDAR GM CHEVROLET CORSA 03/08
11,CAJA DIRECCION,OEP,OP93184686,CAJA DIRECCION GM CORSA 03/08 STD,93184686,GM,CORSA,2006,CAJA DIRECCION STANDAR GM CHEVROLET CORSA 03/08
11,CAJA DIRECCION,OEP,OP93184686,CAJA DIRECCION GM CORSA 03/08 STD,93184686,GM,CORSA,2007,CAJA DIRECCION STANDAR GM CHEVROLET CORSA 03/08
11,CAJA DIRECCION,OEP,OP93184686,CAJA DIRECCION GM CORSA 03/08 STD,93184686,GM,CORSA,2008,CAJA DIRECCION STANDAR GM CHEVROLET CORSA 03/08 
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2002,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2003,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2004,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2005,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2006,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2007,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2008,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2009,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP7701471107,CAJA DIRECCION NISSAN PLATINA 02/10 STD,7701471107,NISSAN,PLATINA,2010,CAJA DIRECCION STANDAR NISSAN PLATINA 02/10
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,1992,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,1993,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,1994,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,1995,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,1996,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,1997,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,1998,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,1999,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,2000,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
11,CAJA DIRECCION,OEP,OP4800165Y10,CAJA DIRECCION NISSAN TSURU 92/17 STD,,NISSAN,TSURU III,2001,CAJA DIRECCION STANDAR NISSAN TSURU 92/17
